lambda_air[angstrom], lambda_vac[nm], transition
6827.446, 682.9330152069381, 7-2_R1f(3.5)
6827.472, 682.9356159066963, 7-2_R1e(3.5)
6828.466, 683.0350426590497, 7-2_R1f(4.5)
6828.473, 683.035742847447, 7-2_R1e(4.5)
6829.474, 683.1358697883054, 7-2_R1f(2.5)
6829.507, 683.1391706764673, 7-2_R1e(2.5)
6829.536, 683.1420714569734, 7-2_R2e(3.5)
6829.593, 683.147772991072, 7-2_R2f(3.5)
6829.900, 683.1784812536786, 7-2_R2e(2.5)
6829.944, 683.1828824378966, 7-2_R2f(2.5)
6832.621, 683.4506544871916, 7-2_R1e(5.5)
6832.648, 683.4533552138788, 7-2_R1f(5.5)
6832.803, 683.4688593856027, 7-2_R2e(4.5)
6832.860, 683.4745609197213, 7-2_R2f(4.5)
6833.999, 683.5884915752503, 7-2_R2e(1.5)
6834.018, 683.5903920866256, 7-2_R2f(1.5)
6834.420, 683.6306029062581, 7-2_R1f(1.5)
6834.447, 683.6333036329505, 7-2_R1e(1.5)
6839.635, 684.1522432669943, 7-2_R2e(5.5)
6839.681, 684.1568445050885, 7-2_R2f(5.5)
6840.011, 684.1898533870757, 7-2_R1e(6.5)
6840.082, 684.1969552980505, 7-2_R1f(6.5)
6841.937, 684.3825052258155, 7-2_R2f(0.5)
6841.953, 684.3841056564609, 7-2_R2e(0.5)
6850.005, 685.1895223822313, 7-2_R2e(6.5)
6850.028, 685.191823001304, 7-2_R2f(6.5)
6850.722, 685.2612416811733, 7-2_R1e(7.5)
6850.851, 685.2741451533736, 7-2_R1f(7.5)
6862.622, 686.4515619923823, 7-2_Q2f(0.5)
6862.738, 686.4631651148177, 7-2_Q2e(0.5)
6863.937, 686.5830973890393, 7-2_Q1f(1.5)
6863.973, 686.5866983580759, 7-2_Q1e(1.5)
6868.294, 687.0189146703746, 7-2_Q2f(1.5)
6868.490, 687.038519946332, 7-2_Q2e(1.5)
6870.929, 687.2824856000425, 7-2_Q1f(2.5)
6871.060, 687.2955891263563, 7-2_Q1e(2.5)
6880.936, 688.283454977943, 7-2_Q1f(3.5)
6881.234, 688.313262999951, 7-2_Q1e(3.5)
6889.255, 689.1155789246758, 7-2_P2e(1.5)
6889.321, 689.1221807014189, 7-2_P2f(1.5)
6894.088, 689.5990090319309, 7-2_Q1f(4.5)
6894.628, 689.6530235692061, 7-2_Q1e(4.5)
6900.799, 690.2702897001163, 7-2_P1e(2.5)
6900.867, 690.2770915307823, 7-2_P1f(2.5)
6912.603, 691.4510074893535, 7-2_P2e(2.5)
6912.642, 691.4549085393418, 7-2_P2f(2.5)
6923.152, 692.5061915034859, 7-2_P1e(3.5)
6923.287, 692.519695138209, 7-2_P1f(3.5)
6939.518, 694.1432321532643, 7-2_P2f(3.5)
6939.525, 694.1439323417432, 7-2_P2e(3.5)
6948.936, 695.0852857425999, 7-2_P1e(4.5)
6949.153, 695.1069915856547, 7-2_P1f(4.5)
6969.896, 697.1818501445164, 7-2_P2f(4.5)
6969.963, 697.188551948735, 7-2_P2e(4.5)
6978.258, 698.0182753252637, 7-2_P1e(5.5)
6978.569, 698.049383700335, 7-2_P1f(5.5)
7003.788, 700.5719628673529, 7-2_P2f(5.5)
